,fighter_1,fighter_2,winner,A_Sig._str._%,A_Td_%,A_Ctrl_%,B_Sig._str._%,B_Td_%,B_Ctrl_%
7006,Nick Osipczak,Matthew Riddle,Nick Osipczak,0.45,0.0,0.41624365482233505,0.51,0.3333333333333333,0.583756345177665
7007,Matt Brown,James Wilks,Matt Brown,0.6,0.0,0.30783582089552236,0.35,0.1,0.6921641791044776
7008,John Hathaway,Paul Taylor,John Hathaway,0.54,0.8333333333333334,1.0,0.26,0.0,0.0
7009,Dan Hardy,Mike Swick,Dan Hardy,0.49,0.25,0.693050193050193,0.38,0.0,0.30694980694980695
7010,Ross Pearson,Aaron Riley,Ross Pearson,0.48,0.0,0.7361111111111112,0.2,0.0,0.2638888888888889
7011,Michael Bisping,Denis Kang,Michael Bisping,0.34,1.0,0.2750809061488673,0.2,0.0,0.7249190938511327
7012,Andre Winner,Rolando Delgado,Andre Winner,0.5,0.0,0.5652173913043478,0.24,0.0,0.43478260869565216
7013,Terry Etim,Shannon Gugerty,Terry Etim,0.29,0.0,0.42696629213483145,0.26,0.5,0.5730337078651685
7014,Randy Couture,Brandon Vera,Randy Couture,0.53,0.1,0.7880116959064327,0.52,0.5,0.21198830409356725
7015,Kyle Kingsbury,Razak Al-Hassan,Kyle Kingsbury,0.25,0.3333333333333333,0.5906642728904847,0.39,0.25,0.40933572710951527
7016,Cain Velasquez,Ben Rothwell,Cain Velasquez,0.65,1.0,1.0,0.14,0.0,0.0
7017,Jorge Rivera,Rob Kimmons,Jorge Rivera,0.48,0.0,0.7103559870550162,0.42,0.3333333333333333,0.2896440129449838
7018,Gleison Tibau,Josh Neer,Gleison Tibau,0.18,0.7857142857142857,0.8761904761904762,0.24,0.0,0.12380952380952381
7019,Anthony Johnson,Yoshiyuki Yoshida,Anthony Johnson,0.5,0.0,0.0,0.0,0.0,0.0
7020,Lyoto Machida,Mauricio Rua,Lyoto Machida,0.32,0.0,0.12432432432432433,0.54,0.0,0.8756756756756757
7021,Joe Stevenson,Spencer Fisher,Joe Stevenson,0.52,0.2857142857142857,1.0,0.31,0.0,0.0
7022,Ryan Bader,Eric Schafer,Ryan Bader,0.31,0.75,0.9962406015037594,0.21,0.0,0.0037593984962406013
7023,Stefan Struve,Chase Gormley,Stefan Struve,0.75,1.0,0.42948717948717946,0.34,1.0,0.5705128205128205
7024,Chael Sonnen,Yushin Okami,Chael Sonnen,0.32,0.5714285714285714,0.9424242424242424,0.16,0.0,0.05757575757575758
7025,Pat Barry,Antoni Hardonk,Pat Barry,0.45,0.0,1.0,0.4,0.0,0.0
7026,Nik Lentz,Rafaello Oliveira,Nik Lentz,0.49,0.8,0.3687150837988827,0.26,0.5714285714285714,0.6312849162011173
7027,Tyson Griffin,Hermes Franca,Tyson Griffin,0.44,0.0,1.0,0.15,0.0,0.0
7028,Vladimir Matyushenko,Igor Pokrajac,Vladimir Matyushenko,0.41,0.8,0.903370786516854,0.26,0.5,0.09662921348314607
7029,Rafael Dos Anjos,Rob Emerson,Rafael Dos Anjos,0.31,0.16666666666666666,0.9280575539568345,0.15,0.0,0.07194244604316546
7030,Rick Story,Brian Foster,Rick Story,0.3,0.75,0.9813432835820896,0.12,0.0,0.018656716417910446
7031,Vitor Belfort,Rich Franklin,Vitor Belfort,0.4,0.0,1.0,0.21,0.0,0.0
7032,Paul Daley,Martin Kampmann,Paul Daley,0.42,0.0,0.0,0.34,0.0,1.0
7033,Josh Koscheck,Frank Trigg,Josh Koscheck,0.52,0.0,1.0,0.11,0.0,0.0
7034,Eliot Marshall,Jason Brilz,Eliot Marshall,0.24,0.0,0.09836065573770492,0.25,0.0,0.9016393442622951
7035,Junior Dos Santos,Mirko Filipovic,Junior Dos Santos,0.44,0.0,0.676056338028169,0.44,0.0,0.323943661971831
7036,Efrain Escudero,Cole Miller,Efrain Escudero,0.31,1.0,1.0,0.11,0.0,0.0
7037,Jim Miller,Steve Lopez,Jim Miller,0.34,0.0,1.0,0.12,0.0,0.0
7038,Tomasz Drwal,Drew McFedries,Tomasz Drwal,0.42,0.42857142857142855,1.0,0.36,0.0,0.0
7039,Brian Stann,Steve Cantwell,Brian Stann,0.24,0.0,1.0,0.22,0.0,0.0
7040,Jeremy Stephens,Justin Buchholz,Jeremy Stephens,0.56,0.0,1.0,0.18,0.0,0.0
7041,Nate Quarry,Tim Credeur,Nate Quarry,0.4,0.0,0.9232245681381958,0.24,0.0,0.07677543186180422
7042,Carlos Condit,Jake Ellenberger,Carlos Condit,0.38,0.5,0.3695652173913043,0.47,0.75,0.6304347826086957
7043,CB Dollaway,Jay Silva,CB Dollaway,0.58,0.6,0.8868194842406877,0.43,0.0,0.11318051575931232
